Institution Name,Location,2025 Rank,2024 Rank,QS Overall Score,Academic Reputation,Employer Reputation,Faculty Student,Citations per Faculty,International Faculty,International Students,International Research Network,Employment Outcomes,Sustainability,pca_1,pca_2
Massachusetts Institute of Technology (MIT) ,US,1,1,100,100.0,100.0,100.0,100.0,99.3,86.8,96.0,100.0,99.0,7.671406250801706,-0.8808373123446592
Imperial College London,UK,2,6,98.5,98.5,99.5,98.2,93.9,100.0,99.6,97.4,93.4,99.7,7.631711879886311,-0.55003137993904
University of Oxford,UK,3,3,96.9,100.0,100.0,100.0,84.8,98.1,97.7,100.0,100.0,85.0,7.469258565424942,-0.796917991365743
Harvard University,US,4,4,96.8,100.0,100.0,96.3,100.0,74.1,69.0,99.6,100.0,84.4,7.103703053707325,-1.591545801164977
University of Cambridge,UK,5,2,96.7,100.0,100.0,100.0,84.6,100.0,94.8,99.3,100.0,84.8,7.4460917715730695,-0.81898266861793
Stanford University,US,6,5,96.1,100.0,100.0,100.0,99.0,70.3,60.8,96.8,100.0,81.2,6.930486927820363,-1.8391820297526495
ETH Zurich - Swiss Federal Institute of Technology,CH,7,7,93.9,98.8,87.2,65.9,97.9,100.0,98.6,95.7,90.5,98.8,7.204204937774114,-0.10161233196226735
National University of Singapore (NUS),SG,8,8,93.7,99.5,91.1,68.8,93.1,100.0,88.9,91.6,100.0,97.7,7.208264046118302,-0.51819291661813
UCL,UK,9,9,91.6,99.5,98.3,95.9,72.2,99.0,100.0,99.9,70.3,74.8,6.807700670362701,-0.3744634112297567
California Institute of Technology (Caltech),US,10,15,90.9,96.5,95.3,100.0,100.0,100.0,79.8,65.5,31.0,62.5,5.810413563876643,-0.06488081553303299
University of Pennsylvania,US,11,12,90.3,96.3,91.9,99.8,74.0,90.9,66.2,91.9,100.0,93.0,6.797268736590633,-1.376566491778743
"University of California, Berkeley (UCB)",US,12,10,90.1,100.0,100.0,23.5,98.2,91.5,61.0,97.2,98.4,100.0,6.855863194149548,-0.9007781844531086
The University of Melbourne,AU,13,14,88.9,98.5,93.9,15.4,93.0,95.1,99.8,97.4,96.5,99.6,7.001522723046115,0.006228785111693459
Peking University,CN,14,17,88.5,99.5,96.6,92.6,97.7,50.3,23.6,79.8,94.2,46.9,5.564653452806526,-2.7052148518373507
"Nanyang Technological University, Singapore (NTU)",SG,15,26,88.4,91.9,73.3,80.6,92.4,100.0,83.5,89.4,83.9,95.6,6.551392048114547,-0.14228477594465996
Cornell University,US,16,13,87.9,98.3,93.1,52.7,97.5,54.2,63.4,94.0,97.1,72.1,6.167535813257712,-1.579506412382674
The University of Hong Kong,HK,17,26,87.6,97.4,59.4,81.2,86.4,100.0,99.3,81.4,99.7,89.2,6.543850699122785,0.008575966467321543
The University of Sydney,AU,18,19,87.3,96.4,90.0,10.9,93.7,99.9,100.0,95.8,93.1,99.6,6.865084907428628,0.25117584957141836
The University of New South Wales (UNSW Sydney),AU,19,19,87.1,90.5,90.4,20.6,94.9,100.0,99.4,98.3,97.7,99.2,6.910860173993116,0.19289528902169203
Tsinghua University,CN,20,25,86.5,99.2,97.7,95.0,99.1,18.1,13.4,79.2,92.3,40.4,5.103107907864048,-3.424310836461878
University of Chicago,US,21,11,86.2,99.1,96.4,94.2,60.8,79.0,87.0,85.1,99.1,46.9,6.156759234375687,-1.3748791426972578
Princeton University,US,22,17,85.5,99.8,98.3,57.0,100.0,9.6,56.6,78.3,95.7,51.5,5.400264685023429,-2.5785044150576106
Yale University,US,23,16,85.2,99.9,99.9,100.0,38.6,91.5,63.3,93.9,98.5,92.2,6.585443128431813,-1.7609016066185978
Université PSL,FR,24,24,84.7,74.4,97.6,98.1,87.6,62.3,65.0,99.8,97.1,73.4,6.147309030262566,-1.5509036984405495
University of Toronto,CA,25,21,84.1,99.7,96.9,44.9,50.8,96.9,96.1,97.7,98.7,100.0,6.823202628348153,-0.5688400480164144
EPFL,CH,26,36,83.5,84.2,67.2,91.2,93.6,100.0,100.0,81.7,27.2,86.7,5.653274848772076,0.9810685069412051
The University of Edinburgh,UK,27,22,83.3,98.3,97.2,65.5,47.7,98.7,99.8,99.5,55.9,99.0,6.435765097113073,-0.06965670384353954
Technical University of Munich,DE,28,37,83.2,83.0,98.6,76.8,75.9,80.4,98.6,95.6,34.5,93.1,5.986255814924993,0.12327792915129515
McGill University,CA,29,30,83,94.3,87.6,62.3,57.9,83.7,89.6,94.2,98.3,99.1,6.52276558677839,-0.7856564281800953
The Australian National University,AU,30,34,82.4,93.8,75.4,34.6,84.6,100.0,96.2,91.4,56.6,97.1,6.074096121704936,0.6728360605255308
Seoul National University,KR,31,41,82.3,98.5,98.6,83.1,71.7,10.5,16.9,73.2,100.0,96.0,5.433808070807482,-3.6368869143379707
Johns Hopkins University,US,32,28,82.1,86.0,62.6,100.0,84.2,63.7,95.8,98.7,71.5,61.9,5.619858343210276,-0.3300894509887101
The University of Tokyo,JP,32,28,82.1,100.0,99.8,89.3,57.3,10.1,29.7,87.4,99.9,98.3,5.67625650525451,-3.5525427282254967
Columbia University,US,34,23,82,99.6,98.8,100.0,31.7,41.5,97.0,98.5,99.9,71.8,6.165192022778742,-2.0418226243079594
